Date,Close,High,Low,Open,Volume
,^FTAS,^FTAS,^FTAS,^FTAS,^FTAS
2005-02-11,2533.320068359375,2533.60009765625,2513.610107421875,2513.610107421875,0
2005-02-14,2532.409912109375,2536.080078125,2527.75,2533.360107421875,0
2005-02-15,2539.06005859375,2541.679931640625,2529.77001953125,2532.389892578125,0
2005-02-16,2533.300048828125,2539.070068359375,2526.02001953125,2539.070068359375,0
2005-02-17,2535.06005859375,2543.43994140625,2532.64990234375,2533.280029296875,0
2005-02-18,2534.72998046875,2538.699951171875,2530.110107421875,2535.10009765625,0
2005-02-21,2533.22998046875,2543.47998046875,2529.389892578125,2534.75,0
2005-02-22,2519.3798828125,2534.139892578125,2511.860107421875,2533.239990234375,0
2005-02-23,2499.300048828125,2519.080078125,2490.81005859375,2519.080078125,0
2005-02-24,2493.18994140625,2506.070068359375,2493.18994140625,2499.360107421875,0
2005-02-25,2510.719970703125,2510.719970703125,2493.22998046875,2493.22998046875,0
2005-02-28,2495.4599609375,2521.14990234375,2495.429931640625,2510.699951171875,0
2005-03-01,2510.0400390625,2511.18994140625,2494.800048828125,2495.4599609375,0
2005-03-02,2506.139892578125,2510.0400390625,2494.949951171875,2510.0400390625,0
2005-03-03,2515.97998046875,2519.60009765625,2506.14990234375,2506.14990234375,0
2005-03-04,2527.25,2528.530029296875,2515.18994140625,2515.97998046875,0
2005-03-07,2522.93994140625,2529.159912109375,2517.909912109375,2527.330078125,0
2005-03-08,2514.72998046875,2523.090087890625,2511.8701171875,2522.97998046875,0
2005-03-09,2508.1201171875,2528.050048828125,2507.889892578125,2514.800048828125,0
2005-03-10,2492.840087890625,2508.10009765625,2490.830078125,2508.10009765625,0
2005-03-11,2502.830078125,2506.419921875,2492.85009765625,2492.85009765625,0
2005-03-14,2499.360107421875,2508.340087890625,2487.659912109375,2502.830078125,0
2005-03-15,2510.10009765625,2512.330078125,2499.39990234375,2499.39990234375,0
2005-03-16,2481.39990234375,2510.110107421875,2477.800048828125,2510.110107421875,0
2005-03-17,2474.3701171875,2488.429931640625,2473.669921875,2481.3701171875,0
2005-03-18,2476.2099609375,2486.219970703125,2474.3701171875,2474.3701171875,0
2005-03-21,2480.52001953125,2488.68994140625,2476.22998046875,2476.22998046875,0
2005-03-22,2480.1201171875,2485.89990234375,2467.81005859375,2480.5400390625,0
2005-03-23,2462.7900390625,2480.02001953125,2453.969970703125,2480.02001953125,0
2005-03-24,2470.580078125,2474.610107421875,2461.419921875,2462.860107421875,0
2005-03-29,2467.6298828125,2470.580078125,2457.02001953125,2470.580078125,0
2005-03-30,2457.6201171875,2467.469970703125,2452.340087890625,2467.469970703125,0
2005-03-31,2457.72998046875,2472.8701171875,2457.72998046875,2457.739990234375,0
2005-04-01,2468.4599609375,2479.489990234375,2457.72998046875,2457.72998046875,0
2005-04-04,2458.68994140625,2468.85009765625,2450.760009765625,2468.449951171875,0
2005-04-05,2479.159912109375,2479.6298828125,2458.72998046875,2458.72998046875,0
2005-04-06,2483.840087890625,2485.0400390625,2478.219970703125,2479.1201171875,0
2005-04-07,2497.530029296875,2499.909912109375,2483.89990234375,2483.89990234375,0
2005-04-08,2501.889892578125,2504.800048828125,2497.550048828125,2497.550048828125,0
2005-04-11,2496.43994140625,2501.909912109375,2492.909912109375,2501.909912109375,0
2005-04-12,2484.550048828125,2496.469970703125,2482.739990234375,2496.469970703125,0
2005-04-13,2491.550048828125,2496.219970703125,2484.5400390625,2484.5400390625,0
2005-04-14,2481.080078125,2491.47998046875,2480.070068359375,2491.47998046875,0
2005-04-15,2453.89990234375,2480.9599609375,2453.89990234375,2480.9599609375,0
2005-04-18,2418.7900390625,2453.409912109375,2406.739990234375,2453.409912109375,0
2005-04-19,2434.239990234375,2437.590087890625,2418.8798828125,2418.8798828125,0
2005-04-20,2419.590087890625,2441.580078125,2418.5,2434.260009765625,0
2005-04-21,2418.070068359375,2426.419921875,2410.97998046875,2419.47998046875,0
2005-04-22,2432.85009765625,2437.3701171875,2418.18994140625,2418.18994140625,0
2005-04-25,2439.449951171875,2440.699951171875,2429.06005859375,2432.8798828125,0
2005-04-26,2428.050048828125,2445.300048828125,2422.139892578125,2439.47998046875,0
2005-04-27,2397.89990234375,2427.9599609375,2393.9599609375,2427.9599609375,0
2005-04-28,2393.2900390625,2411.10009765625,2387.679931640625,2397.909912109375,0
2005-04-29,2397.050048828125,2406.090087890625,2385.7099609375,2393.179931640625,0
2005-05-03,2424.590087890625,2425.2099609375,2397.1298828125,2397.1298828125,0
2005-05-04,2431.010009765625,2432.5400390625,2418.06005859375,2424.5400390625,0
2005-05-05,2441.72998046875,2448.699951171875,2431.030029296875,2431.030029296875,0
2005-05-06,2448.06005859375,2450.179931640625,2439.52001953125,2441.75,0
2005-05-09,2444.780029296875,2450.719970703125,2438.360107421875,2448.090087890625,0
2005-05-10,2434.840087890625,2453.60009765625,2429.8701171875,2444.800048828125,0
2005-05-11,2427.050048828125,2435.409912109375,2423.77001953125,2434.68994140625,0
2005-05-12,2437.699951171875,2443.4599609375,2427.050048828125,2427.050048828125,0
2005-05-13,2434.260009765625,2437.669921875,2420.52001953125,2437.669921875,0
2005-05-16,2433.679931640625,2435.25,2427.080078125,2434.260009765625,0
2005-05-17,2441.02001953125,2441.949951171875,2433.47998046875,2433.72998046875,0
2005-05-18,2463.449951171875,2467.1298828125,2441.0,2441.0,0
2005-05-19,2472.760009765625,2476.72998046875,2463.56005859375,2463.56005859375,0
2005-05-20,2476.830078125,2480.469970703125,2472.780029296875,2472.780029296875,0
2005-05-23,2486.909912109375,2487.219970703125,2476.8798828125,2476.8798828125,0
2005-05-24,2484.679931640625,2486.969970703125,2481.3701171875,2486.969970703125,0
2005-05-25,2481.139892578125,2485.179931640625,2478.449951171875,2484.68994140625,0
2005-05-26,2494.639892578125,2496.199951171875,2475.18994140625,2481.179931640625,0
2005-05-27,2492.010009765625,2497.510009765625,2487.030029296875,2494.669921875,0
2005-05-31,2483.35009765625,2496.679931640625,2483.35009765625,2492.0400390625,0
2005-06-01,2504.820068359375,2504.820068359375,2483.35009765625,2483.35009765625,0
2005-06-02,2503.719970703125,2506.760009765625,2499.699951171875,2504.8701171875,0
2005-06-03,2503.35009765625,2508.260009765625,2498.2099609375,2503.739990234375,0
2005-06-06,2494.7900390625,2506.280029296875,2493.300048828125,2503.409912109375,0
2005-06-07,2516.070068359375,2517.06005859375,2494.7900390625,2494.7900390625,0
2005-06-08,2506.4599609375,2516.06005859375,2503.010009765625,2516.06005859375,0
2005-06-09,2508.4599609375,2508.4599609375,2497.760009765625,2506.4599609375,0
2005-06-10,2519.72998046875,2526.659912109375,2508.449951171875,2508.449951171875,0
2005-06-13,2530.340087890625,2530.409912109375,2519.77001953125,2519.77001953125,0
2005-06-14,2528.10009765625,2531.75,2524.81005859375,2530.360107421875,0
2005-06-15,2515.35009765625,2533.6298828125,2513.4599609375,2528.090087890625,0
2005-06-16,2529.0,2529.1298828125,2515.3798828125,2515.3798828125,0
